TRIP
DATE 2006-08-12 
DECLINATION     0.00
DATA
2.18		140.65	61.33	1.167	<
2.18		16.35	-23.21	0.406	<
2.18		335.07	-34.44	0.987	<
2.18		317.18	-27.64	1.006	<
2.18		343.54	-63.97	1.214	<
2.18		293.70	-86.70	0.777	<
2.18		293.81	-26.96	1.306	<
2.18		292.87	-14.11	1.796	<
2.18		55.48	-56.49	1.451	<
2.18		91.99	-47.25	0.680	<
2.18		79.38	-51.42	2.715	<
2.18		88.21	-45.97	2.769	<
2.16	2.19	111.77	2.12	1.268	<
2.19		33.69	0.64	0.357	<
2.19		313.30	-7.09	1.126	<
2.19		330.20	-3.15	0.691	<
2.19		254.94	15.37	0.479	<
2.19		215.19	18.41	0.896	<
2.19		200.58	11.32	0.647	<
2.19		161.69	2.50	0.711	<
2.19		154.54	-86.97	0.441	<
2.19		117.55	-18.56	1.074	<
2.19		346.87	87.26	0.644	<
2.19		132.63	71.00	2.472	<
2.19		130.11	56.46	3.650	<
2.19		118.88	6.47	1.313	<
2.19		123.03	29.75	1.618	<
2.19		125.88	39.43	1.814	<
2.19		127.15	45.37	2.718	<
2.19	2.20	124.86	64.29	1.444	<
2.20	2.21	124.80	37.84	2.594	<
2.21		219.78	9.18	0.307	<
2.21		326.05	19.41	0.196	<
2.21		263.48	-78.02	0.339	<
2.21		278.65	70.31	0.276	<
2.21		146.13	54.17	0.601	<
2.21		119.82	56.37	1.097	<
2.21		81.00	57.82	1.536	<
2.21	2.22	87.15	69.98	2.117	<
2.23	2.19	238.39	69.43	1.607	<
2.23		343.42	35.16	0.274	<
2.23		120.33	-0.30	0.762	<
2.23		12.62	-4.45	0.799	<
2.23		91.00	-0.94	0.918	<
2.23		65.47	-3.80	0.995	<
2.23		48.11	-10.13	1.313	<
2.7	2.23	219.28	17.48	1.525	<
2.7		273.94	17.28	0.899	<
2.5	2.25	17.22	2.52	3.023	<
2.25		184.88	1.34	1.363	<
2.25		187.54	-0.03	1.905	<
2.25		201.39	0.86	1.204	<
2.25		199.72	-2.46	2.053	<
2.25		230.35	10.22	0.732	<
2.25		63.59	19.23	0.540	<
2.25		135.19	26.89	0.471	<
2.25		171.40	7.18	1.200	<
2.25		181.94	1.90	1.299	<
2.25		1.96	16.67	0.764	<
2.25		347.28	11.90	1.620	<
2.25		325.25	5.52	1.673	<
2.25		302.21	-6.09	1.819	<
2.25		244.08	-8.59	1.078	<
2.25		271.66	-17.81	1.271	<
2.25		299.88	-40.11	1.333	<
2.25		337.31	42.63	1.339	<
2.25		345.67	60.17	2.152	<
2.25		346.28	69.74	2.179	<
2.25		246.80	89.01	0.441	<
2.25		204.41	-44.33	0.697	<
2.25		351.59	29.59	1.509	<
2.25		330.29	27.55	1.425	<
2.25	2.26	279.32	-32.71	2.091	<
2.26		15.93	2.18	0.711	<
2.26		51.48	10.59	1.006	<
2.26		187.57	-3.02	0.304	<
2.26		121.84	7.20	0.726	<
2.26		97.13	-51.23	0.670	<
2.26		26.50	-56.15	0.708	<
2.26		304.70	-52.94	0.840	<
2.26		281.34	-43.68	1.090	<
2.26		258.00	-51.42	0.810	<
2.26		195.61	-55.93	0.630	<
2.27	2.26	158.10	71.95	6.142	<
2.27		142.68	44.13	1.298	<
2.27		148.33	6.47	0.870	<
2.27		207.80	7.62	0.294	<
2.27		180.79	6.28	0.439	<
2.27		115.29	-6.43	0.848	<
2.27		99.57	-5.39	0.936	<
2.27		90.58	-6.55	0.789	<
2.27		272.82	-0.52	0.997	<
2.27		166.43	63.03	3.852	<
2.27		153.22	67.80	3.425	<
2.28	2.27	319.53	78.60	3.174	>
2.28		12.94	27.66	0.459	>
2.28		46.06	2.38	0.915	>
2.28		61.17	-1.27	0.904	>
2.28		69.21	-2.55	0.965	>
2.28		275.53	0.24	0.705	>
2.28		302.67	1.63	0.669	>
2.28		318.67	-0.95	0.541	>
2.28		334.12	-5.39	0.831	>
2.28		348.58	-3.68	1.139	>
2.28		0.99	-15.31	0.901	>
2.28	2.29	49.63	-27.64	1.047	>
2.30	2.29	15.16	71.16	3.292	>
2.30		38.27	0.26	0.875	>
2.30		83.09	-6.72	0.427	>
2.30		107.71	-1.53	0.299	>
2.30		3.64	-0.52	0.551	>
2.30		316.86	-3.78	0.349	>
2.30		325.53	-6.37	0.775	>
2.31	2.30	299.01	82.17	1.772	>
2.31		0.59	-84.51	1.015	>
2.31		58.95	-68.39	1.506	>
2.31		65.45	-50.66	1.682	>
2.31		61.57	-20.29	1.263	>
2.31		57.64	1.53	1.161	>
2.31		69.64	-33.03	1.673	>
2.31	2.32	55.56	-37.51	1.148	>
2.32		110.30	-44.35	0.951	>
2.32		106.07	-32.46	1.164	>
2.32		102.87	-31.57	1.117	>
2.32		110.00	-29.77	0.852	>
2.7	2.24	76.96	-20.74	1.370	>
2.24		240.53	-3.29	0.540	>
2.24		194.24	-13.32	0.560	>
2.24	2.33	138.28	-52.81	2.250	>
2.33		334.00	24.12	0.700	>
2.33		312.78	30.88	1.321	>
2.33		284.68	45.64	1.140	>
2.33	2.34	92.83	-17.04	1.144	>
2.34		211.03	21.50	0.450	>
2.34		307.65	34.35	0.750	>
2.34		253.58	25.66	0.730	>
2.34		268.85	21.30	1.390	>
2.34		147.01	-8.07	0.670	>
2.34		162.19	-3.42	1.140	>
2.34		167.05	-4.35	1.410	>
2.34		189.57	-1.79	0.770	>
2.34		183.22	-0.87	1.920	>
2.34		176.18	-0.83	2.490	>
2.34	2.35	172.61	-5.96	3.823	>
2.35		337.08	-1.11	0.830	>
2.35		320.17	3.21	0.660	>
2.35		302.19	5.12	0.650	>
2.35		285.70	4.23	0.990	>
2.35		10.79	5.95	0.800	>
2.35		25.79	19.45	0.880	>
2.35		46.86	26.77	0.950	>
2.35		66.63	33.66	1.130	>
2.35		92.59	33.97	0.719	>
2.35	2.36	260.69	-5.01	1.489	>
2.36		10.73	15.68	0.681	>
2.36		35.91	4.30	0.920	>
2.36		48.73	-0.26	1.110	>
2.36		100.50	10.45	0.480	>
2.36		132.40	35.14	5.051	>
2.36		152.02	11.25	1.000	>
2.36		158.12	6.44	0.910	>
2.36	2.37	173.34	-9.23	2.350	>
2.37		153.56	19.41	1.300	>
2.37		57.91	6.43	0.500	>
2.37		34.00	13.75	0.530	>
2.37		12.85	11.68	0.780	>
2.37		5.89	9.14	1.530	>
2.37		340.84	3.30	1.840	>
2.37		347.30	4.86	2.159	>
2.37		354.16	6.15	2.550	>
2.37	2.38	169.72	8.16	1.416	>
2.38	2.39	165.60	27.25	5.272	>

PLAN
STATIONS
-10.195	4.640	2.1
-11.162	5.047	2.2
-11.502	5.101	2.3
-11.380	5.953	2.4
-11.515	6.512	2.5
-13.913	6.221	2.6
-15.406	3.611	2.7
-15.629	5.086	2.8
-17.052	6.274	2.9
-18.232	5.364	2.10
-19.458	7.707	2.11
-21.335	8.662	2.12
-19.557	5.494	2.13
-20.779	5.058	2.14
-18.513	4.809	2.15
-17.930	2.635	2.16
-17.860	1.391	2.17
-17.758	0.496	2.18
-16.808	2.189	2.19
-16.239	1.807	2.20
-14.557	0.638	2.21
-13.833	0.674	2.22
-16.327	2.485	2.23
-14.158	3.900	2.24
-10.621	9.397	2.25
-12.357	9.682	2.26
-13.067	11.448	2.27
-12.660	10.971	2.28
-11.953	11.572	2.29
-12.231	10.546	2.30
-12.020	10.429	2.31
-11.269	10.944	2.32
-13.253	2.885	2.33
-12.161	2.831	2.34
-11.672	-0.940	2.35
-13.136	-1.180	2.36
-12.867	-3.484	2.37
-12.617	-4.863	2.38
-11.451	-9.403	2.39
SHOTS
-16.327	2.485	-16.808	2.189
