TRIP
DATE 2006-08-12 
DECLINATION     0.00
DATA
2.26	2.33	48.11	48.42	3.040	>
2.33		249.79	14.56	1.169	>
2.33		276.79	12.40	1.290	>
2.33		200.51	-13.28	0.710	>
2.33		234.38	4.99	0.771	>
2.33		165.47	-41.72	0.860	>
2.33	2.34	304.60	12.02	1.489	>
2.34		102.73	7.08	0.430	>
2.34		245.88	-13.82	0.260	>
2.34		53.35	39.74	1.070	>
2.34		131.83	22.22	0.360	>
2.34		165.15	71.85	1.040	>
2.34		353.35	86.54	1.000	>
2.34		285.37	56.31	0.639	>
2.34	2.35	339.09	52.31	1.476	>
2.35		65.18	4.48	0.691	>
2.35		105.89	-7.92	0.900	>
2.35		122.18	-14.36	1.000	>
2.35		176.03	-26.75	0.760	>
2.35		155.31	-6.08	0.850	>
2.35		132.16	-1.56	1.399	>
2.35		347.91	-43.66	0.700	>
2.35		148.23	-65.82	0.830	>
2.35		45.39	83.51	0.920	>
2.35		132.07	51.46	0.910	>
2.35		141.27	28.71	0.849	>
2.35		340.84	62.60	1.410	>
2.35	2.36	322.42	1.41	3.823	>
2.36		208.73	2.87	0.440	>
2.36		177.85	12.89	1.260	>
2.36		152.47	8.37	1.710	>
2.36		147.84	-1.25	2.619	>
2.36		147.41	-2.06	3.310	>
2.36		132.46	5.07	1.200	>
2.36		158.63	-79.62	0.960	>
2.36		138.19	-43.66	0.860	>
2.36		146.41	-19.97	0.840	>
2.36		260.54	79.28	0.491	>
2.36		143.33	52.25	0.470	>
2.36		289.17	24.96	0.410	>
2.36		288.37	-21.03	0.309	>
2.36		288.16	-32.80	0.790	>
2.36		290.41	-43.68	1.170	>
2.36	2.37	288.46	-38.46	1.109	>
2.37	2.38	330.67	45.95	0.693	>
2.38		153.75	-6.44	0.330	>
2.38		168.45	60.91	0.380	>
2.38		202.05	80.37	0.780	>
2.38		313.46	70.14	1.010	>
2.38		315.95	40.92	1.180	>
2.38		233.74	-1.35	0.340	>
2.38		279.71	-6.31	0.900	>
2.38		313.65	-1.17	1.320	>
2.38		327.72	-0.43	1.060	>
2.38	2.39	315.56	38.44	1.200	>
2.39	2.40	330.63	53.22	1.250	>
2.38	2.41	320.09	35.16	1.169	>
2.41	2.42	349.93	61.88	1.079	>
2.36	2.43	154.75	12.26	1.516	<
2.43	2.44	29.22	56.97	0.973	>
2.44		314.67	20.56	3.550	>
2.44		319.33	73.25	1.560	>
2.44		303.10	84.90	2.120	>
2.44		137.93	83.05	2.060	>
2.44		145.84	64.15	1.560	>
2.44		152.72	40.15	1.450	>
2.44		152.94	21.80	1.511	>
2.44		223.02	2.13	0.860	>
2.44		266.40	11.76	0.309	>
2.44		315.09	-44.01	0.620	>
2.44		315.75	-13.37	0.670	>
2.44	2.45	314.85	20.26	3.543	>
2.45		109.39	68.29	2.060	>
2.45		120.27	52.27	1.650	>
2.45		126.85	33.96	1.930	>
2.45		135.30	-68.85	0.760	>
2.45		57.43	2.59	0.510	>
2.45		105.45	2.92	0.530	>
2.45		141.69	-50.34	0.970	>
2.45		142.51	-38.54	1.619	>
2.45		270.00	59.89	0.550	>
2.45		287.47	43.29	1.291	>
2.45		309.37	33.72	0.910	>
2.45		325.62	24.15	0.980	>
2.45		33.95	12.95	0.500	>
2.45		3.79	16.69	0.710	>
2.45		332.85	16.42	1.380	>
2.45		337.26	56.76	1.590	>
2.45		331.00	39.39	1.500	>
2.45		328.35	19.71	1.480	>
2.45		37.61	-63.63	0.520	>
2.45	2.46	329.31	11.16	1.540	>
2.46		119.39	-5.93	0.320	>
2.46		338.70	-6.67	0.491	>
2.46		351.41	-11.78	1.190	>
2.46		244.59	1.14	0.200	>
2.46		165.20	3.48	0.330	>
2.46		185.49	-85.09	0.610	>
2.46		61.51	-5.64	0.550	>
2.46		20.87	-11.95	1.280	>
2.46		35.02	-14.73	1.380	>
2.47	2.46	191.38	17.42	1.099	>
2.47		289.70	19.75	0.290	>
2.47		233.01	20.86	0.500	>
2.47		205.69	11.92	0.629	>
2.47		106.85	11.79	1.600	>
2.47		103.87	13.67	0.880	>
2.47		115.25	16.61	2.180	>
2.47		122.90	15.09	2.120	>
2.47		126.79	16.83	1.050	>
