index,name,longitude,latitude,elevation,collection start,collection end,solution status,lateral rms,sample count,antenna height
1,Olejnicek,16.712859416474057,49.27801387662966,534.0026037037036,2021-12-11 14:20:15 UTC,2021-12-11 14:20:42 UTC,FIX,0.0115,135.0,2.134
2,Vetrna propast,16.71901713119355,49.281573283774186,527.2782516129032,2021-12-11 14:40:54 UTC,2021-12-11 14:41:01 UTC,FIX,0.0086,31.0,2.134
3,12,16.719328610264707,49.28156949435295,527.7083441176469,2021-12-11 14:47:18 UTC,2021-12-11 14:47:25 UTC,FIX,0.0049,34.0,2.134
4,9,16.718228062931033,49.281048002482756,526.278372413793,2021-12-11 14:55:23 UTC,2021-12-11 14:55:29 UTC,FIX,0.0086,29.0,2.134
5,Krvak,16.718389141499998,49.28133536752632,527.5842684210527,2021-12-11 15:00:00 UTC,2021-12-11 15:00:08 UTC,FIX,0.0054,38.0,2.134
